LT031-0202|Tuoj įjungsiu šviesas, - pažadėjo Vinstonas. - Ženkite vidun, užverkite duris.
LT015-0026|Taip ir negrįžo nė karto. Gyveno Čikagoje, gyveno San Diege, paskui persikėlė arčiau brolio, į Angliją, ir niekada nebegrįžo į Iraną.
LT022-0035|šiuos duomenis pakartoja į eterį.
LT036-0257|į tyrąjį kelią.
LT031-0056|ir imtis veiksmų dėl didesnio gėrio.
LT024-0090|Dabar, pavyzdžiui, pasakyk, kokie tavo kvepalai, kuriuos aš čia užuodžiu?
LT038-0167|Patį tiltą galima akimoju atpažinti iš unikalios centrinės atramos - ryškiai raudono milžiniškos H raidės formos statramsčio,
LT012-0021|Tuomet jis jau buvo pasiekęs fantastiškų rezultatų iš savo nekilnojamo turto ir parduotuvių verslo, bet labai dar norėjo sukurti mokymų projektą, kurį viešintų Lietuvoje.
LT029-0164|Pirmas skyrius.
LT015-0065|Balsas telefone tęsė: - Sveiki, Merky. Čia Justė iš „Stage Event Promotion“.
LT036-0220|perduosiu jums detalią informaciją, kai tik ją turėsiu. Tikėkite manimi. Pasimatysime artimiausiu metu.
LT032-0207|Tiesiai į dešimtuką. Bet antrasis skamba kaip papildomas. Ne „iš kur atėjome“... o... - „Kur link judame?“ -
LT039-0105|Kodėl vyskupas niekam nesakė apie susitikimą? Ypač jei atsižvelgtume į šio vakaro įvykius?
LT035-0138|Akimirką net tarėsi jaučiąs, kad po nugara tirta veja, sakytum link jų būtų artėjęs metro traukinys.
LT029-0242|Man įdomu, kodėl futuristą domina praeitis? - jiems išeinant iš restorano, pasiteiravo Lengdonas.
LT029-0144|Sutarėm? Visi trys nebyliai palinkčiojo galvomis, nors Kiršas nujautė, kad to prašyti apskritai nereikėjo.
LT029-0177|Aš - Fernandas, - prisistatė jis. - Esu čia tam, kad pasveikinčiau jus atvykus į muziejų.
LT037-0197|Jis iki šiol bandė perprasti, kodėl muziejaus direktorė piktai atsisakė paimti telefoną ir pakalbėti su nerimaujančiu princu.
LT025-0031|Aš noriu parašyti apie jūsų istoriją, jei jūs leisite, atsakė rašytojas. - Man negaila, bet jūs man pasakykite, kodėl turėčiau sutikti?
LT014-0003|Dabar žinojau daug daugiau nei prieš minutę.
LT001-0058|Du tūkstančiai devintais metais Martynas kartu su Algirdu Karaliumi ir Dariumi Jonausku organizavo ir vykdė didžiausio Lietuvoje motyvacinio renginio “Sėkmės Instinktas:
LT027-0033|Ostukinas apsisuko, sagstydamasis klyną, nuėjo prie pušelės ir ten susikaupęs atliko gamtos reikalą.
LT026-0048|penkiasdešimčiai metų.
LT034-0158|todėl į jį numojome ranka kaip į paiką tamsiųjų laikų mitą.
LT009-0035|kuriuos klientai patiria dirbdami su jumis, su jūsų konkurentais, tai yra galimos klientų patiriamos problemos jūsų rinkoje.
LT038-0125|Švento Stepono bazilikos varpinių fone, išdidžiai kilo apšviestas Grešamo rūmų fasadas.
LT035-0073|Nors reakcija buvo neigiama, aš dėkingas už tai, kad tie vyrai teikėsi mane priimti.
LT002-0211|Todėl pats geriausias pardavėjas bus tas, kuris logikai paremti naudos faktus.
LT004-0062|Tad pasistenkite, kad Jūsų kainos pasibaigtų skaičiumi septyni.
LT011-0003|Ši technika yra skirta e. paštu, video ar kitu patogiu būdu pranešti apie:
LT004-0154|pasižiūrėkite ir pagalvokite ką išskirtinio galėtumėte padaryti pas save..
LT030-0092|pasisukęs dešinėn karininkas alkūne skėlė drūtesniam chuliganui į nosį, ir toji lūžo šleikščiai traškėdama.
LT036-0230|Šiaip ar taip, Valdespinui rodės, jog sulig kiekviena praeinančia diena devizas vis labiau netenka savo aktualumo.
LT033-0022|Patarnautojas sustojo prie Valdespino asmeninio kabineto ir krūptelėjo pamatęs ruoželį šviesos, sklindančios iš po uždarytų durų. Jis tenai?!
LT028-0134|Vainikio mama uždirbo didelį honorarą laidojimo namuose, nes nuo tilto buvo nuvažiavęs pilnas autobusas, keliavęs
LT020-0092|nuoga ir apsivyniojus mane švelniai, tvirtai ilgomis rankomis ir ilgais pirštais, o aš žiūrėjau pro langą į nakties šviesas ir galvojau,
LT013-0158|Jie rašo, kad žmonės galėtų įvažiuoti į statybų aikštelę ir išvažiuoti iš jos.
LT014-0078|Aš esu Didžiosios Britanijos ir Šiaurės Airijos limgtinės Karalystės pilietis.
LT029-0248|kuriame buvo lėktuvo bilietas, pranešimas apie jam rezervuotą viešbučio kambarį ir Kiršo ranka brūkštelėta žinutė, raginanti atvykti į Ispaniją:
LT029-0006|Iš kur mes atėjome? Kur link judame?
LT003-0096|Visiems individams, ypač žmonėms, būdingas smalsumas.
LT027-0099|kai mintys pačios painiojasi, kaip moteriškos plonos kelnaitės pinasi tarp pirštų, paskubom jas numaunant draugei.
LT034-0239|Tai pagrindinė mūsų smegenų programa, - pasakė Edmondas. - Kaip tik todėl žmonės nusiteikę prieš chaosą. Ir linkę į tvarką.
LT003-0125|Reklamose seksualumu grindžiami vaizdai verčia vartotoją manyti,
LT008-0013|Tiesa, kad pasitikėjimas, laikui bėgant, didėja, tačiau, norėdami įgyti interneto puslapio lankytojų pasitikėjimą, nebūtinai turime laukti ilgai.
LT032-0022|bet gal paaiškintum, kodėl Edmondas prašė atvesti mane į šią galeriją? Juk žino, kad modernaus meno nesuprantu.
LT035-0244|Kažkur apačioje triukšmingai atsidarė ir vėl užsitrenkė durys. Jis išbėgo iš pastato!
LT025-0022|kad visi veržiasi tik į vieną pusę, - net ir tada buvo abejojančių, kurioje tvoros pusėje jie nori būti.
LT021-0046|kai bandžiau su jais diskutuoti: sakydavau, tai žiūrėk, jei tau pinigai taip nesvarbu,
LT021-0037|negauti sekso - tai pasaulio pabaiga, pati užtaiso dešimtkart didesnę pasaulio pabaigą, jeigu vyras kažkodėl atsisako su ja mylėtis.
LT017-0092|Kai taip sako moteris, yra gana blogai. Kai taip sako vyras, tai yra pasaulio pabaiga, kaip blogai. Aistė tylėjo ir žiūrėjo toliau nemirksėdama.
LT027-0012|vokiečius ir žydus. Ten visokios improvizacijos linksmos, apie Didįjį Tėvynės karą ir konclagerius.
LT032-0239|todėl sutariau pasimatyti tik su trimis - krikščionybės, islamo ir judaizmo atstovais. Mūsų ketvertas akis į akį susitiko vienuolyno bibliotekoje.
LT035-0250|kaip bet kuriam nuoširdžiam ispanų katalikui.
LT004-0106|Ekologišku agavo nektaru, šviežia ciberžolės ar imbiero šaknimi, kajieno pipirais ir kita.
LT013-0195|Čia kaip tie žmonės, kurių paklausia, kas jie tokie, kokios tautybės, ir jie atsako: „Mes vietiniai.“
LT025-0077|- Taip. Taip. Gerai. Tada jis pas jus atvažiuos. Gerai. Nėra už ką. Kada nors tu man padėsi.
LT019-0060|Bet net ne pajamos svarbu. Aš dirbau darbą, kuris man buvo visiškai neįdomus. O čia žmonės galėjo dirbti trumpiau bei įdomiau ir gyventi miesto centre.
LT029-0198|Aš tikrai ketinu pasidžiaugti jų vaizdais, - atsakė Lengdonas. - Tik norėčiau žinoti, kodėl mane čia pakvietė.
LT022-0059|Čia klausimas, į kurį man niekas nieko negalėjo atsakyti. Kaimo turizmo sodyba, kaip suprantu, buvo
LT008-0012|Ar puslapyje pateikta vaizdinė medžiaga (lentelės, dizainas, grafikai ir panašiai) atitraukia dėmesį nuo pranešimo paskirties?
LT030-0062|Chuliganas paleido jo ranką ir sutelkė dėmesį į barmenę.
LT033-0215|Operatorius kilstelėjo penkis pirštus. Keturi, trys, du...
LT018-0098|Tas pats laikas kiekvienam skirtingas. Žmonės pakelia dalykus, kai pradeda kelti ir ne anksčiau.
LT028-0106|Volfgangą atleido kitą dieną po priėmimo, nes, pagal Mildos taisykles, organizacijoje turi dirbti tik moterys, kad būtų moterų ir vyrų lygybė.
LT037-0083|Mes privalome imtis ryžtingų veiksmų, sau tarė Lengdonas, antraip du dingiausias mano studento atradimas niekada nepamatys dienos šviesos.
LT024-0104|Sakai, netyčia radai.
LT036-0122|Neįmanoma. - Fonseka prisimerkė. - Svečių sąrašą galutinai patvirtinome dar vakar. Ir nuodugniai perkratėme visų biografijas.
LT005-0013|„Užsisakius internetu, „X prekės ženklo“ žolelių rinkinį išsiųsime skubiuoju paštu
LT025-0059|- Kodėl jūs man visa tai pasakojate, Andriau?
LT030-0040|Kai lauko durys plačiai prasivėrė, Avila atsigręžė ir išvydo du vidun įvirstančius apkūnius vyrus.
LT028-0049|Burkuojantys Marekas ir Rasa net nepastebėjo žurnalistų
LT019-0003|Aš neturiu kuo skųstis, tačiau ką nors ypatingo man sunku būtų papasakoti, nes nieko ypatingo ar džiaugsmingo nebuvo.
LT038-0147|Berniukas prasižiojo, bet vietoj žodžių jam iš burnos paplūdo elektronikos ūžesys, o akyse blykstelėjo nepaprastai ryški balta šviesa.
LT029-0094|Sekdamas vyskupą, Kiršas įsispigino į šlaitą, ir jam į galvą šovė sardoniška mintis.
LT032-0232|Šįmet visai atsitiktinai parlamentas rengė posėdžius netoli Barselonos, maždaug už valandos kelio nuo mano namų
LT019-0101|Ką reiškia „dabar“?
LT028-0043|Jos mojavo nuo restorano tarnybinio įėjimo durų. Risčia pasileidę fotografai stumdėsi ir šūkčiojo, užuodę puikų kadrą.
LT034-0257|štai tokios kompiuterio reakcijos. Ekrane sušvito žodžiai: TIKSLIAM ATSAKYMUI TRŪKSTA DUOMENŲ.
LT032-0268|Dėl susitikimo organizavimo kreipiausi į vyskupą, nes būtent Valdespinas vadovavo parlamentui, kaip jo narius priimantis namų šeimininkas, - tęsė Kiršas.
LT034-0259|Bet kamantinėdamas šį mažutį biologinį kompiuterį - Iš kur mes atėjome? - gausite kiek kitokį rezultatą. Smegenys
LT011-0020|Pirmas žingsnis: Štai ką aš Jums turiu paruošęs
LT021-0026|Vilkyškių pieninės dalykai. Juodi katinėliai (kodėl katinėliai, paaiškinkite man, nejau kas nors katinus melžia?)
LT037-0268|Jeigu savo tikslą pasieksime nepastebėti... pagalvojo žinodamas, kad netrukus policija visur užtvers kelius. Privalome suktis greitai.
LT038-0038|nuo tada, kai baigėsi trisdešimt šešerius metus trukusi kruvina ultrakonservatyvaus generolo Fransisko Franko diktatūra ir įsigalėjo parlamentinė monarchija.
LT028-0059|Mauglis Kukėnas buvo užaugintas taip, kad išmoko bodėtis ir piktintis viskuo aplinkui, ir norėjo, kad visas pasaulis būtų kaip biblioteka,
LT006-0102|Ar pagalvojote, kad „šį pranešimą išsiuntėte jau trečią kartą.
LT016-0104|po juo buvo aptempti violetiniai marškinėliai su tokiu žemu kaklu, kad matėsi pusė krūtinės,
LT022-0005|Šiuo atveju aš irgi stengiausi, labiausiai todėl, kad daugiausia už mano pasisakymus tekdavo Aistei. Mat aš iš miesto, aš pasikėlęs,
LT006-0037|Prieštaravimą pakeiskite klausimu.
LT032-0021|Nepakartojama, Vinstonai,
LT015-0062|Aš ir vėl pagalvojau, kaip greitai išmokau niekuo nesistebėti. Turbūt žmonės, patekę į kalėjimą, į koncentracijos stovyklą ar dar kur nors kitur,
LT004-0139|Ribotas leidimas! Ribotas gaminimas! Ribotas kiekis!
LT027-0102|Buvau visiškai pamiršęs tą interviu prieš kelias savaites ir mudviejų su Aiste fotosesiją, o dabar štai matėm save per televizorių, gulėdami lovoje,
LT012-0057|Penktas. Jūs TURITE galimybes investuoti į papildomą reklamą ir rinkodarą.
LT036-0143|Ne... neteko, - kuždomis atsiliepė pažvelgdama į Lengdoną ir atsigrįždama į apsauginį.
LT036-0146|Kas atsakingas už svečių sąrašą? - Fonseka dar per žingsnį prisiartino prie Ambros.
LT009-0043|elektroniniame laiške, interneto svetainėje, ar ten kur žmogus eis ieškoti daugiau informacijos apie jus,
LT026-0111|Pagyvenusios bobos juodais kaip naktis po atominio karo plaukais (tik šaknys buvo ataugusios šlykščia raudona spalva),
LT036-0077|Žudikas pabėgo. salida bloqueada... Išėjimas buvo užblokuotas.
LT032-0215|Manai, bus neigiamų atgarsių? - Neabejotinai. Atsakydamas į šiuodu klausimus, atvirai metu iššūkį per šimtmečius nusistovėjusiems dvasiniams mokymams.
LT022-0098|- Merky, būk geras, pastatyk tiesiog ten, gerai, aš tau paaiškinsiu, - tyliai pasakė man Aistė. Aš uždariau automobilio langą.
LT038-0215|Vyriškis pripuolė prie šturvalo ir paleido variklius. Dar po kelių sekundžių kateris šovė į vakarus ir pasišokinėdamas nuplaukė tamsoje skendinčia Nerviono upe.
LT034-0062|Komentatoriai pasakojo apie Kiršo nuveiktus darbus ir dalinosi prielaidomis apie jo būsimą paslaptingą pranešimą.
LT004-0109|rekomenduojame rinktis vienos arba trijų dienų kursą, o jeigu jau ęsate ją išbandę,
LT019-0041|Oi, velnias, pagalvojau, man reikės sužinoti, kas yra mano tėvai. Ar jie yra apskritai - gal jie jau mirę.
LT032-0096|ir iki šiol nepamiršo prie baseino surengto vakarėlio.
LT033-0061|No hablo inglės. - Angliškai nekalbu. - Jis patrūkčiojo pečiais ir vėl ėmė kopti laiptais.
LT032-0069|Lengdonas sutrikęs apsidairė.
LT002-0125|Pristatydami savo produkto ar paslaugos teikiamą naudą, tekstą formuluokite mąstydami apie Jūsų potencialių klientų emocinius interesus,
LT022-0087|Ten viskas atrodo kaip kaimo turizmo sodyba, kur sprogo didelis užtaisas ir visus baisius drožinėtus dalykus išblaškė į šalis.
LT027-0107|perskaityti dar kartą tą laimėjimą, kuris jame įrašytas, ir pasistengti patikėti tuo, ką skaitau.
LT013-0053|o gerieji žmonės netoliese sutiko mus įsileisti ir paimti iš mūsų pinigus.
LT037-0047|Jis prašė padaryti asmeninę paslaugą ir prie svečių registro pridėti admirolo Avilos vardą. Iki muziejaus atidarymo buvo likusios kelios minutės,
LT002-0049|Tai yra tikra proto kontrolė.
LT014-0192|Beveik pasakojimas „mes žinome, kur tu gyveni“.
LT030-0061|Ai, koks skirtumas.
LT023-0109|savanoriškai rinktis prancūzišką automobilį vyrui, daugumos runkelių mužikų požiūriu, yra tas pats, kas savanoriškai rinktis myluoti kitus vyrus ir čiulpti jų pimpalus.
LT029-0150|hmm, griaunamojo pobūdžio. Kol kas aš vienintelis pasaulyje turiu šią informaciją ir dabar ruošiuosi ją atskleisti jums.
LT008-0087|Tad kaipgi galite užmegzti ryšį?
LT016-0156|- Aš žinai, grįžau jau. Galvoju, kaip tu. Pasiilgai? Geriau nesakyk, atrodys, kad aš prisiprašiau.
LT029-0159|Kiršas akimis permetė senovinę šventų tekstų saugyklą.
LT033-0083|Daugiau nei šešis šimtus mečečių ir geriausius regiono universitetus turintis miestas prilygsta dvasingumo ir mokslo židiniui
LT030-0087|Necesitamos ayuda inmediatamente, - po pauzės pratęsė. - Ha ydos hombres heridos. - Jis nutraukė ryšį.
LT008-0093|Atminkite, kad trumpas pokštas turės daugiau įtakos užmezgant ryšį nei dvidešimties minučių trukmės kalba apie pardavimą.
LT031-0172|Moteris atsisuko ir profesorių nužvelgė su akivaizdžia panieka. - Nejaugi? Meldžiu, apšvieskite mane kodėl.
LT013-0048|Atskiras linktelėjimas lofto penki šimtai dvidešimt keturi Yates Street, Victoria, British Columbia šeimininkams,
LT013-0065|sėdėjome tame pačiame kabinete, ir aš jam pasakiau, kad jis taps žmogumi, kuris bus mano knygoje.
LT029-0044|jau daugiau nei keturis šimtmečius kentė negailestingą traukos jėgą ir nepaliaudama vykdė pradinę savo paskirtį - saugojo savo gyventojus nuo šiuolaikinio pasaulio.
LT003-0152|Pasveikinti klientai vidutiniškai išleido po keturis šimtus aštuonis dolerius, tris centus.
LT008-0020|Žinau, koks esate!
LT026-0023|tašyčių pederastkių ir leopardinių tympų ir jiems teko rengtis visokiomis drapanomis, vyžomis, klumpėmis ir kitokiais siaubais.
LT027-0056|- Aš tavęs prašiau visų pagalvių neapšaudyti, tu gal gaisrininkas esi pagal zodiaką, - kikeno Aistė, valydamasi nuo skruosto lašus. - Tu mano galiūnas.
LT019-0140|kad būstas teko Žanetai, o aš persikėliau gyventi į nuomojamą tvarkingą ir paprastą, bet neglamūrinį butą, kur dabar ir esu.
LT027-0100|Tik tada pastebėjau tyliai mirksintį kampe televizorių. Buvo įjungtas kažkuris iš lietuviškų kanalų, ir ten rodė reklamą: ekranu prašvilpė naujas žurnalo „Žmonės“ numeris,
LT037-0148|Būtent. Net jeigu kokie žmonės išsiaiškintų, kad slaptažodis yra poemos ištrauka, net jeigu iš milijonų galimybių rastų tikslią eilutę,
LT023-0069|Pažiūrėkite į vidurinio lietuvio garažą, kaip jis suverstas, ir žinokite, kad taip atrodytų visa Lietuva nuo Nidos iki Šalčininkų ir nuo Biržų iki Druskininkų.
LT035-0032|Amerikiečių futuristas neslėpė savo antipatijos religijai, bet Ambra nė nenutuokė, kaip priešiškai jis elgsis šiandien per mokslinio atradimo pristatymą.
LT007-0049|Tyrimai rodo, kad gebėjimas įtikinti labiausiai siejamas su autoriteto suvokimu, atvirumu ir patikimumu kitiems.
LT032-0299|veiksmus per daug nekreipiau dėmesio, - jis pritilo nenuleisdamas akių nuo profesoriaus.
LT023-0040|lepinantys jas cukruotais komplimentais. Ir jos būtų ne fyfos (daugelis jų net nebeturi tam duomenų),
LT031-0212|Ir kodėl čia esu vienui vienas?
LT003-0087|o visi kiti - net aštuoniasdešimt penki procentai visų dalyvių, atėjo po du ir daugiau.
LT031-0159|Nors ji itin grėsminga, skulptūrą papildo kiaušinėlių maišas, skelbiantis, kad juodoji našlė ketina suteikti gyvybę, todėl ją derėtų vadinti ir grobuone,
LT012-0001|pasiūlyčiau efektyvius pardavimų skatinimo būdus ir suteikčiau profesionalias rekomendacijas, kaip padidinti jūsų veiklos pajamas ir pelną?
LT017-0115|„Tu nieko nesupranti.“
LT033-0171|Marhaba? - šūktelėjo vaikis. - Sveiki?
LT036-0154|Staiga iš ausinių atsklido Vinstono balsas.
LT036-0017|Dėl neišvengiamo monarchų pasikeitimo ispanų žvilgsniai krypo į kronprincą, ir jų galvose sukosi vienintelis klausimas: Kaip jis valdys šalį?
LT033-0170|Bagio žibintai apšvietė veidu į smėlį sudribusį nejudantį žmogų.
LT026-0009|televizija - be kalbų, o štai apsimetėlėms žaliavalgėms protestuotojoms bus nelengva taip staigiai persirikiuoti, juo labiau kad jos galvoja, jog protestuoti reikės tik po dviejų savaičių.
LT023-0009|(kuriuos išverčia maždaug per tris dienas nuo pasirodymo, ir jų būtent tokia kokybė ir būna - kaip knygų, kurias išverčia per tris dienas)
LT008-0097|Kalbėdami apie save, žmonės tampa atviresni. Taip galite greitai sužinoti apie jų nuotaiką, asmenybę ir bendravimo stilių.
LT017-0144|aš pažinau visus žmones, bet jie su manim kalbėjo kaip su svetimu.
LT037-0037|Apimtas dvejonių, Lengdonas nuo jos nenuleido akių. - Dėl Edmondo nužudymo reikia kaltinti mane, - kuždomis pasakė Ambra, ir jos tamsiai rudos akys sudrėko.
LT004-0021|Pirkėjas sako: „Esu kritiškoje padėtyje!“
LT033-0217|Moteris atsainiai nusibraukė plaukų sruogą nuo alyvinio atspalvio skruosto ir į auditoriją įsmeigė ugningas tamsias akis.
LT036-0280|Ponia Vidal, - tylesniu balsu tarė, - šiandienos įvykis kirto Ispanijai baisų smūgį.
LT008-0085|Verslo draugai turi ryšių.
LT004-0049|Matome, kad pirmasis pavyzdys gana vangokas ir ne toks aiškus emociškai, kaip antrasis.
LT024-0100|- Žinau, čia Lupino kvepalai. Žinai, iš kur pavadinimas?
LT034-0283|Tik įsivaizduokite, kas nutiktų, jei mes kažkaip stebuklingai gautume atsakymus į svarbiuosius gyvenimo klausimus...
LT030-0101|Vykdydamas regento paliepimus jis buvo visiškai ramus. Jokių savarankiškų sprendimų. Jokio kaltės jausmo. Vien tik veiksmai.
LT013-0068|Fardinas, kurio tikroji pavardė man žinoma, pats pasirinko personažo pavardę pagal savo senelio, gyvenusio Irane, pavardę.
LT036-0162|Sprendžiant iš minos, agentas negalėjo patikėti savo ausimis. Delnu pridengęs telefoną sušnabždėjo:
LT023-0091|Čia eilinis lietuviškas prietranką, nesugebantis nieko gyvenime, net ir išmaitinti šeimos (kurios jam, tiesą sakant, ir nereikėjo:
LT018-0015|Su Fardinu susipažinau netyčia, kai jis atvyko į Angliją, nes norėjo būti arčiau savo brolio, kuris tuomet sirgo.
LT037-0215|Lengdonas spėjo įsidėmėti, koks atstumas juos skiria nuo tunelio ertmės, ir nuotolį apskaičiavo beveik idealiai tiksliai.
LT037-0202|Kaip mes matome, ponia Vidal su palydovu dingo iš laukiamojo. Perbėgo per tiltelį ir pasiekė galeriją, kur eksponuojame Luizos Buržua „Narvus“.
LT032-0302|Ne, ne, svečių sąrašas atidžiai prižiūrimas, muziejus nepriekaištingai apsaugotas. Labiau nervinuos dėl to, kas nutiks, kai prabilsiu viešai.
LT022-0106|Ir dar pagalvojau, kad dėl to Lietuvoje tos raganos, visos tetos auksės, ir siautėja, kad joms niekas nepasako užsikimšti.
LT017-0072|Tada esi užsiraukęs. Na, nieko, apsimesiu, kad išgirdau, įsisavinau, išmokau pamoką.
LT029-0282|Vaizdas buvo nežemiškas, trikdantis orientaciją. Muziejus tarsi kybojo virš vandens,
LT029-0103|Statistika iškalbinga, pone Kiršai.
LT016-0153|- Ai, nu tas. Čia tas Kęstas Rimdžius, ar ne? Tai jis ne kirpėjas, jis stilistas.
LT031-0016|Pastate tebuvo vienas kambarys su lentynomis, siekiančiomis lubas ir įdubusiomis nuo religinių foliantų svorio.
LT038-0104|Stiprūs ryšiai princą su vyskupu tebesiejo ir dabar,
LT027-0010|- Aaa... O ką ji dabar irgi kažką vaidina?
LT021-0200|- Visi žulikai. Visi žulikai. Viena pimpalus bando, kitas restoranus reketuoja, o jūs turbūt išvis, kaip čia pasakius, viešnamiams dizainus projektuojate.
LT023-0186|tai, kas normaliam žmogui yra privatus užsiėmimas, lietuviui yra geriausia atlikinėti viešumoje.
LT026-0061|Jo draugai žvengė, o jis atsikėlė nuo žemės su primušto šunio išraiška veide ir bandė nusivalyti vėmalus nuo sportinio džemperio.
LT020-0031|- Klausyk, gal tu atvažiuok pas mane. Mes tada pasikalbėsim. Nes ką čia telefonu.
LT011-0072|Kaip matote - tai elementaru, paprasta.
LT014-0092|Kažkokiame biure. Su kažkokiais žmonėmis. Gamtoje. Su kažkokia moterimi, atrodo, atostogose (fone palmės),
LT036-0217|Ačiū, - padėkojo Kiovešas.
LT036-0095|Iš savo vietos Lengdonas matė, kad Ambra Vidal vis dar sukniubusi greta šoninės sienos.
LT034-0149|Aukštybėse sužibo nauji žvaigždynai su kitais dievais.
LT038-0011|Avila buvo tikras, kad persigandęs vairuotojas nuolankiai paklus instrukcijoms, todėl nuleido pistoletą.
LT003-0110|Kelias, vedantis į finansinę laisvę, neprivalo būti ilgas...
LT032-0063|Profesorius sulėtino žingsnį.
LT031-0173|Mielai. Lengdonas prisiartino prie žymių, grubiai įrėžtų į molinį paviršių.
LT006-0016|Susikoncentruokite į baimes ir būtinai pateikite pakankamai informacijos apie produkto naudą ir teikiamas garantijas.
LT034-0011|Nė nenutuokė, ką ras anapus skraistės, bet tokio reginio tikrai nesitikėjo. Ar mes... lauke?
LT036-0190|Manau, žino, kas esame, ir mums lemta tapti kitomis aukomis. Turime kreiptis į valdžios atstovus ir pranešti, ką išgirdome iš Kiršo, nes tokia yra mūsų moralinė priedermė.
LT018-0131|Fardinas labai greitai skaitė ir skaitydavo viską
LT006-0129|Ar turite istoriją apie kliento pasitenkinimą Jūsų produkto veiksmingumu?
LT001-0049|Du tūkstančiai vienuoliktais metais Martynas Šaikus atliko virusinio marketingo eksperimentą:
LT037-0089|Klūpėdamas greta Edmondo jis kovojo su augančia baime.
LT022-0090|Dabar mudu su Aiste ir jos vaiku Skaisgirdu (kurį aš vadinau
LT017-0077|Nesupratau, ar čia todėl, kad mano kitas gyvenimas buvo angliškas, ar todėl, kad tiesiog taip natūralu ir gal čia, Lietuvoje, taip kalbama.
LT038-0024|Ispanijos seniausios ir geriausios saugumo pajėgos, Guardia Real, uoliai puoselėja tradicijas nuo viduramžių laikų.
LT011-0112|Išmoksite greitai išsiaiškinti kokie yra jūsų tikslinių klientų lūkesčiai jūsų produktų/ paslaugų atžvilgiu.
LT029-0132|Vyskupas Valdespinas įsitaisė tarp dviejų savo kolegų, sunėrė rankas ir lūkuriuodamas pažiūrėjo į Kiršą.
LT015-0118|Automobilį, kiek žinojau, turiu - ir, kaip supratau iš savo pašto, man netgi apie artėjantį techninį aptarnavimą praneš laišku.
LT009-0053|Video marketingas (ir radijo, TV reklamos, jeigu naudojatės).
LT034-0226|chaotišką įvesties duomenų tėkmę, kuri plūsta ištisą dieną - kalbą, įsimenančią melodiją, sirenos kauksmą, šokolado skonį.
LT023-0114|tai jo ar jos neapsaugos nuo išdurninimo, nes atsitiktinis pirkėjas neturi pakankamai priežasčių įsigyti tą patį modelį, kurį jau yra įsigijęs žinovas.
LT031-0130|Vinstonai, nenoriu pasirodyti nepagarbus, bet, tiesą sakant, man paprastai nelengva atskirti
LT017-0192|„į namus“, - pagalvojau pats sau ir nusipurčiau.
LT038-0124|tuo pat metu grožėdamasis nesenstančiais vaizdais. Rytuose plytinčiame Pešte,
LT014-0171|Kuriuos nors prisimenu?
LT013-0187|Vienos rankos užteks. Mokėjau ir angliškai.
LT018-0013|Aš šiaip neturėjau daug draugų. Mes, anglai, sunkiai užmezgame santykius su žmonėmis ir suformuojame draugysčių ratą dažniausiai vidurinėje mokykloje.
LT018-0077|Tavęs net moteris ten laukia, - balsas ragelyje nusišypsojo.
LT006-0046|Atsiradus prieštaravimui, turite ne ginčytis, o atsakyti į potencialaus kliento klausimus.
LT001-0042|Numeris vienas finansų treneris Europoje Bodo Schafer ir roko grupės “Scorpions” įkūrėjas Rudolf Schenker
LT012-0071|Aš parodysiu jums kokius pokyčius būtina įdiegti ir kokius veiksmus būtina žengti, kad padidintumėte pardavimų konversiją ir galiausiai - jūsų pelną.
LT012-0087|Tikrai nevedžiosiu jūsų už nosies ir nežadėsiu neįmanomo.
LT006-0114|Šešioliktas. TIESOS MYGTUKAS
LT023-0039|(tegu visi galvoja, kad ten gyvena), aplink kurias sukasi „džentelmenai“ lakuotais sulaižytais plaukais ir Clarko Gablo ūsiukais,
LT037-0123|Tu nesi „kažkoks mokslininkas“, - paprieštaravo Ambra. - Bet taip, tavo tiesa. Aš nekantrauju ją pamatyti.
LT038-0106|Donai Chulijanai, - ramiu tonu prašneko Garsa. - Aš įsitikinęs, kad šias problemas derėtų spręsti tik mudviem.
LT038-0178|Tačiau po sekundės Ambra juos paleido.
LT039-0068|Gvardiečių vadas nustebęs žiūrėjo į viešųjų ryšių koordinatorę netikėdamas savo ausimis. Ar panašu, kad mane tai domintų?
LT012-0092|bei nauji, išvestiniai projektai, kuriuos “netyčia” arba tyčia galiu jums sugalvoti eigoje - viskas liks jūsų ir jokio komisinio už tai neprašysiu.
LT004-0022|Nėra nieko, kas taip smarkiai stiprina neatidėliotino pasitenkinimo poreikį, kaip neatidėliotinos situacijos ar kritinė padėtis.
LT015-0029|Gulėjau lovoje ir galvojau - gal ir man taip suruošta?
LT029-0142|Kol dar nepratęsėme, patikslinsiu, kad žinias, kurias tuojau atskleisiu, būtina laikyti paslaptyje.
LT017-0003|Tai aš nupirkau vyno. Paėmiau baltojo, visgi vasara. Du butelius, abu įdėjau šaldytis.
LT017-0028|Mums, anglams, tenka visai kitokie moterų tipažai:
LT024-0148|negalėjau niekaip pasiaiškinti dėl savo dvejonių ir todėl jaučiausi įspraustas į kampą.
LT021-0140|kas yra nuostabu, jei pagalvosime apie tai, kad lietuviams pati sveika mityba visiškai nepatinka, o patinka visoks kulinarinis angliavandenių mėšlas,
