wavs/LT001-0001|﻿Jeigu tokia knyga jau lietuvių būtų buvusi parašyta, tuomet nedrįsčiau.
wavs/LT004-0015|Šeštas. NEATIDĖLIOTINO PASITENKINIMO MYGTUKAS
wavs/LT004-0016|Šiuolaikiniame pasaulyje, kai gyvenimas vyksta žaibišku greičiu, ką nors darydami, vartotojai nori patirti neatidėliotiną pasitenkinimą.
wavs/LT004-0017|Galite dėl to kaltinti technologijas, gal internetą, gal netgi MTV.
wavs/LT004-0018|Netgi galite kaltinti iš anksto pagamintus mišinius gėrimams, momentinius loterijos bilietus bei mikrobangų krosneles.
wavs/LT004-0019|Kaltinkite ką tik norite, tačiau viena yra aišku:
wavs/LT004-0020|Jei pasiūlysite trokštamą pasitenkinimą, tikėtina, kad žmonės pirks DABAR.
wavs/LT004-0021|Pirkėjas sako: „Esu kritiškoje padėtyje!“
wavs/LT004-0022|Nėra nieko, kas taip smarkiai stiprina neatidėliotino pasitenkinimo poreikį, kaip neatidėliotinos situacijos ar kritinė padėtis.
wavs/LT004-0023|Paauglys, mokyklos išleistuvių vakarą ant savo veido pastebėjęs didelį spuogą, negali septynias dienas laukti, kol gydymas padės.
wavs/LT004-0024|Asmuo, norintis per mokamą kanalą žiūrėti Floyd Mayweather ir Manny Pacquiao bokso mačą, negali savaitę laukti, kol jam prijungs kabelinę televiziją.
wavs/LT004-0025|Kuris “Google AdWords” skelbimas, Jūsų manymu, patrauks žmogaus dėmesį, per stiprią vėtrą
wavs/LT004-0026|(turbūt jau ne vėtra, o uraganas būtų) netekusio dalies namo stogo:
wavs/LT004-0027|„A B C“ Firmos stogų danga. Mes taisome stogus. Dėl įkainių kreipkitės telefonu trys devyni keturi aštuoni penki septyni trys.
wavs/LT004-0028|„D E F“ stogų taisymo įmonė laukia Jūsų skambučio telefonu trys devyni keturi aštuoni penki septyni trys. Skubi pagalba esant kritinei situacijai.
wavs/LT004-0029|Daugelis žmonių manytų, kad firmos „A B C“ reklama yra tinkama.
wavs/LT004-0030|Pateikiamas kompanijos pavadinimas, kontaktinė informacija ir paaiškinama kompanijos veikla.
wavs/LT004-0031|Tačiau ši reklama neperteikia minties „Mes suprantame Jūsų poreikius ir galime juos patenkinti.“
wavs/LT004-0032|Be abejo, firmos „D E F“ reklama orientuota vien tik į klientą.
wavs/LT004-0033|Vartotojas teigia: „Aš neturiu kantrybės.“
wavs/LT004-0034|Žmonės pirks tą produktą, kuris suteiks jiems neatidėliotiną pasitenkinimą.
wavs/LT004-0035|Štai kodėl internetu siunčiamos elektroninės knygos yra tokios populiarios.
wavs/LT004-0036|Paspausk mygtuką, apmokėk sąskaitą išankstiniam apmokėjimui ar įvesk savo kreditinės kortelės informaciją ir per kelias sekundes gausi tai, ką užsisakei.
wavs/LT004-0037|Jokio nerimo, jokio laukimo!
wavs/LT004-0038|Septintas. SPECIFIŠKUMO MYGTUKAS
wavs/LT004-0039|Vaizdiniai mintyse gali stimuliuoti stiprias emocijas, kurios bus tarsi derlinga dirva į kurią sodinsite pirkimo „sėklas“.
wavs/LT004-0040|Nors paveikslas muziejuje ar meno kūrinių galerijoje gali būti impresionistinis, ekspresionistinis ar kubizmo pakraipos,
wavs/LT004-0041|paveikslas, kurį savo marketingo medžiaga tapote Jūs, privalo būti realistinis ir būtinai specifinis.
wavs/LT004-0042|„Pats tikriausias būdas sužadinti ir išlaikyti skaitytojo dėmesį – būti specifiškam, tiksliam ir konkrečiam“
wavs/LT004-0043|(Strunk ir White)
wavs/LT004-0044|Palyginkime du pavyzdžius reklamose.
wavs/LT004-0045|Pirmasis variantas:
wavs/LT004-0046|”X Prekės ženklo” vazonėliai pomidorų auginimui. Padės Jums užauginti daug skanių pomidorų namuose.
wavs/LT004-0047|”X Prekės ženklo” vazonėliai pomidorų auginimui.
wavs/LT004-0048|Puikiai sugeriantys saulės šilumą ir ne taip greitai garinantys vandenį vazonėliai užtikrins gausų skanių pomidorų derlių tiesiog jūsų namuose.
wavs/LT004-0049|Matome, kad pirmasis pavyzdys gana vangokas ir ne toks aiškus emociškai, kaip antrasis.
wavs/LT004-0050|Specifiškumu labiau tikima, todėl jį reikia vertinti, kaip svarbų mygtuką.
wavs/LT004-0051|Išsami informacija lengviau įtikina ir padeda įgyvendinti pardavimą.
wavs/LT004-0052|Skaičių žaidimas
wavs/LT004-0053|Tyrimai rodo, kad žmonėms pateikta medžiaga atrodė labiau tikėtina tada, kai joje naudoti skaičiai nebuvo suapvalinti
wavs/LT004-0054|(tikriausiai žinote, ką reiškia suapvalinti į didesnę ar į mažesnę pusę?
wavs/LT004-0055|Viena, kai septyniolika suapvalinama iki dvidešimties, kita, kai keturiasdešimt du apvalinami iki keturiasdešimties).
wavs/LT004-0056|Pavyzdžiui, jei nurodėte keturioliką puikių būdų, kaip numesti dešimt kilogramų,
wavs/LT004-0057|vartotojui paliekamas įspūdis, kad kas nors ištyrė procesą ir atpažino keturioliką būdų, kaip numesti tuos kilogramus.
wavs/LT004-0058|Priešingai, „Dešimt puikių būdų...“ skamba nuobodžiai ir tam tikra prasme standartiškai, panašiai kaip „šešių skardinių pakuotė“.
wavs/LT004-0059|Stebuklingas septynetukas
wavs/LT004-0060|Žurnalo “Wall Street” atlikto tyrimo metu buvo nustatyta, kad skaičius septyni sulaukia daugiausiai žmonių dėmesio.
wavs/LT004-0061|Ar ne tiesa, kad jis laimingas?
wavs/LT004-0062|Tad pasistenkite, kad Jūsų kainos pasibaigtų skaičiumi septyni.
wavs/LT004-0063|(p.s. mes jau tai darome trečius metus)
wavs/LT004-0064|Laimėtojai ir pralaimėjusieji
wavs/LT004-0065|Tiriant vartotojų požiūrį į hipotetinį nežinomo prekės ženklo importuotą alų, buvo pastebėta, kad žemiau pateikti jo apibūdinimai vartotojų susidomėjimo nesulaukė:
wavs/LT004-0066|Mūsų šviesus alus yra labai populiarus.
wavs/LT004-0067|Mūsų alus pasižymi puikiu skoniu.
wavs/LT004-0068|Šio alaus kaina prieinama visiems.
wavs/LT004-0069|Marketingo specialistai, pakeitę aukščiau pateiktas formuluotes kitomis, taip pat pakeitė ir vartotojų požiūrį – jie buvo teigiamai sužavėti.
wavs/LT004-0070|Nuo tūkstantis devyni šimtai penktūjų metų šis alus tapo labiausiai perkamas.
wavs/LT004-0071|Vartotojai santykiu penki ir vienas iš siūlomų Amerikos bei kito importuojamo alaus pasirinko mūsų alų.
wavs/LT004-0072|Šešių butelių pakuotė kainuoja tik dolerį septyniasdešimt devynis centus - tai tik trisdešimt centų už jūsų mėgstamo alaus butelį.
wavs/LT004-0073|Nurodykite konkrečią datą.
wavs/LT004-0074|Pranešę apie išpardavimą arba ypatingą pasiūlymą, nesakykite „Greitai baigsis“. Geriau nurodykite taip:
wavs/LT004-0075|„Pasiūlymas galioja iki pirmadienio, tai yra birželio devyniolktos dienos, septynioliktos valandos.“
wavs/LT004-0076|Baiminatės, kad po birželio devynioliktos žmonės prekės nebepirks?
wavs/LT004-0077|Taigi egzistuoja paprastas sprendimas...
wavs/LT004-0078|Tarkim, kad Jūsų pardavimo kampanija „Pirkdami „X Prekės ženklo“ žoliapjovę, dovanų gausite sodo įrankių komplektą,
wavs/LT004-0079|kurio vertė šimtas devyniasdešimt septyni eurai“ galioja iki gegužės pirmos dienos.
wavs/LT004-0080|Pasibaigus akcijai, Jūs matote, kad ji buvo labai sėkminga.
wavs/LT004-0081|Tada pradėkite naują kampaniją birželio, liepos, rugpjūčio arba bet kuriam kitam mėnesiui, jei tik žolė vis dar žaliuoja!
wavs/LT004-0082|Galiojimo datos esmė tokia, kad ją galima (ir būtina) keisti, jei tik ši marketingo priemonė pasirodė esanti veiksminga.
wavs/LT004-0083|Neleiskite, kad pasiūlymas pasibaigtų!
wavs/LT004-0084|Vartotojas, skubantis spėti įsigyti produktą iki pasiūlymo galiojimo pabaigos,
wavs/LT004-0085|nesupyks dėl to, kad terminas buvo pratęstas ar, kad akcija yra pakartojama po mėnesio. Svarbiausia, kad sąlygos būtų ne geresnės nei anksčiau.
wavs/LT004-0086|GERAS SPECIFIŠKUMO PAVYZDYS
wavs/LT004-0087|Noriu pasidalinti vienu man labai patinkančiu lietuvišku kopiraitingo pavyzdžiu -
wavs/LT004-0088|tai FIT FOOD sulčių dietos programos aprašymas (pagarba jiems - tikri šaunuoliai).
wavs/LT004-0089|Kviečiu pagooglinti ir juos surasti ir paskaityti kaip jie aprašo savo produktus.
wavs/LT004-0090|Yra iš ko pasimokyti ir pritaikyti sau.
wavs/LT004-0091|jūs paklausote savo draugų ir nusprendžiate pradėti šią programą.
wavs/LT004-0092|Pasirinkus produktą ir dedant į krepšelį pasitinka poros sakinių informatyvus tekstas.
wavs/LT004-0093|Tačiau tiems, kam to nepakanka, gali skaityti daugiau (o ten dar geresnis tekstas).
wavs/LT004-0094|Pradedantiesiems: pirmos dienos pamoka:
wavs/LT004-0095|Populiariausia sulčių programa tinkanti tiems, kurie dar nėra išbandę sulčių programos.
wavs/LT004-0096|Pradedantiesiems skirta sulčių programa padės atsikratyti blogų mitybos įpročių, įsiklausyti į savo organizmo poreikius ir praddėti sveikos gyvensenos etapą.
wavs/LT004-0097|Daugiau apie produktą skaitykite čia.
wavs/LT004-0098|Antras žingsnis: kaip matote šis produkto aprašymas yra tikrai nestandartinis ir dar retai kur sutinkamas.
wavs/LT004-0099|Bet aš labai džiaugiuosi, kad dabar tai sutinku dažniau, nei metus ar du atgal.
wavs/LT004-0100|Pradedantiesiems: pirmos dienos programa:
wavs/LT004-0101|Kaip ir byloja pavadinimas, ši programa skirta būtent jums, jei sulčių programą bandote pirmą kartą, jei esate nepatenkinti savo mitybos įpročiais,
wavs/LT004-0102|norite pradėti nają, sveikesnį etapą, įsiklausyti į organizmo poreikius.
wavs/LT004-0103|Geriant vien sultis organizmas nėra apkrautas kieto maisto virškinimu, nuo jo pailsi.
wavs/LT004-0104|Na, o kadangi per dieną išgersite net tris litrus šviežių, šalto, lėtaeigio spaudimo būdu spaustų sulčių, jūs net nepajusite alkio jausmo.
wavs/LT004-0105|Sultys yra spaudžiamos iš daržovių, žalūmynų ir vaisių, pagardintos natūraliais prieskoniais.
wavs/LT004-0106|Ekologišku agavo nektaru, šviežia ciberžolės ar imbiero šaknimi, kajieno pipirais ir kita.
wavs/LT004-0107|Todėl yra kupinos naudingų maistinių medžiagų, vitaminų ir mineralų.
wavs/LT004-0108|Jeigų sulčių programa jums yra naujiena bei bandote ją pirmą karta,
wavs/LT004-0109|rekomenduojame rinktis vienos arba trijų dienų kursą, o jeigu jau ęsate ją išbandę,
wavs/LT004-0110|arba, jeigu jums sveika mityba yra tapusi kasdienybe - penkų dienų.
wavs/LT004-0111|Vienai dienai gausite šešis šalto, lėtaeigiu spaudimu pagamintus sulčių kokteilius po penkis šimtus mililitrų.
wavs/LT004-0112|P.S. jie man tikrai nieko neužmokėjo. Tiesiog mėgstu šaunų marketingą ir tekstus, kurie įkvepia kūrybai.
wavs/LT004-0113|Aštuntas. PRIPAŽINIMO IR MEILIKAVIMO MYGTUKAS
wavs/LT004-0114|Poreikis būti pripažintam ir pagirtam būdingas absoliučiai visiems. Tai paprasčiausias žmogaus poreikis ir, žinoma, neatskiriama žmogiškosios prigimties dalis.
wavs/LT004-0115|Tiesa ta, kad visame pasaulyje milijonai žmonių išleidžia milijonus dolerių psichologams, siekdami pripažinimo ir patvirtinimo.
wavs/LT004-0116|Jei padėsite savo klientams jaustis gerai, jie ir toliau su Jumis palaikys verslo santykius.
wavs/LT004-0117|Pirkimo procese vartotojai nori būti intelektualūs ir nuovokūs.
wavs/LT004-0118|Taigi, kai tik vartotojas priima protingą sprendimą (pirkdamas iš Jūsų), būtinai pagirkite jo išmintingumą!
wavs/LT004-0119|Tik Jūs Taip pat klientui galite pateikti dviejų tipų pasiūlymus, perteikiančius pripažinimą: „Pasiūlymas tik Jums“ arba „nuolaida tik išskirtiniams klientams“.
wavs/LT004-0120|Kas yra išskirtiniai klientai?
wavs/LT004-0121|Klientai, kurie perka dažniausiai ir daugiausiai. Jie pasijunta pageidautini ir svarbūs dėl Jūsų pasiūlymo:
wavs/LT004-0122|„Sugrįžkite dar kartą!“ – kitą kartą mūsų kavinė suteiks Jūsų užsakymui X procentų nuolaidą ar desertą nemokamai.
wavs/LT004-0123|Naujiems grožio studijos lankytojams padovanosime nemokamą XYZ procedūrą.
wavs/LT004-0124|Devintas. IŠSKIRTINUMO MYGTUKAS
wavs/LT004-0125|Ar Jums kada nors teko lankytis vienoje iš moderniausių, madingų drabužių parduotuvių? Ten, kur didelėje erdvėje kabo tik trys ar keturios suknutės?
wavs/LT004-0126|O iš tikro toje erdvėje būtų galima patalpinti visą automobilių saloną?
wavs/LT004-0127|Ar kada susimąstėte, kodėl asortimentas jose toks ribotas?
wavs/LT004-0128|Tikrai ne todėl, kad tam neužtenka vietos, ar todėl, kad pirkėjas neranda jam patinkančių produktų.
wavs/LT004-0129|Ir ne todėl, kad parduotuvės savininkams pritrūko pinigų platesniam asortimentui.
wavs/LT004-0130|Priežastis paprasta – išskirtinumas.
wavs/LT004-0131|Apribokite pasiūlymą neribotam laikui
wavs/LT004-0132|Moteriški drabužiai gaminami masiškai, todėl suknelių demonstravimas po vieną joms suteikia tam tikro išskirtinumo
wavs/LT004-0133|(pagalvokite, kaip ši suknelė atrodys pakabinta šalia šimto tokių pačių tik skirtingo dydžio suknučių).
wavs/LT004-0134|Masinės produkcijos pasaulyje išskirtinis pasiūlymas ypač žavi.
wavs/LT004-0135|Ponia pirkėja mano, kad „pasaulyje daugiau nėra tokių, kaip aš, kaip ir daugiau nėra tokios pačios suknelės, kaip ši. Privalau ją įsigyti“.
wavs/LT004-0136|Jei Jūsų reklama skelbia, kad „šis produktas / paslauga yra riboto leidimo“, tai klientas iš tikrųjų girdi:
wavs/LT004-0137|„Turėsiu tai, ko kiti neturi, ir žmonės man pavydės.“
wavs/LT004-0138|Taigi, ponia Pirkėja bei ponas Pirkėjas tikrai susižavės tokiomis frazėmis kaip:
wavs/LT004-0139|Ribotas leidimas! Ribotas gaminimas! Ribotas kiekis!
wavs/LT004-0140|Šių prekių pagaminta tik penkiolika vienetų!
wavs/LT004-0141|Taigi, dėl išskirtinių prekių pirkėjas išsiskiria iš visų likusių vartotojų ir todėl tai sustiprina jo ego.
wavs/LT004-0142|Šis mygtukas gali būti naudojamas reklamuojant skirtingos įvairovės produktus ir paslaugas, pradedant meno kūriniais ir baigiant kepintomis bulvytėmis.
wavs/LT004-0143|Tačiau neapsigaukite – pirkėjai nėra kvaili.
wavs/LT004-0144|Jie tikrai suvokia skirtumą tarp masinės gamybos ir siūtų pagal užsakymą drabužių.
wavs/LT004-0145|Pirkėjai supranta, kad salėje yra tik keletas pavyzdžių, bet dar bent tuzinas tokių pat patalpinta sandėliuose, tačiau, nepaisant viso to,
wavs/LT004-0146|pirkimo procesą skatins parduotuvėje tvyranti išskirtinumo atmosfera ir dėl jos kylančios emocijos.
wavs/LT004-0147|Mes jau žinome, kad teigiamos emocijos stipriai motyvuoja žmones pirkti.
wavs/LT004-0148|Dėl išskirtinumo žmonės pasijus priklausantys tam tikrai įtakingai grupei, todėl jie jausis itin gerai.
wavs/LT004-0149|Išskirtinumo sąvoka yra ypač konkreti
wavs/LT004-0150|Jai nereikalingas joks interpretavimas, visai nesunku suprasti, ką išskirtinumas reiškia.
wavs/LT004-0151|Teiginys “turime tik dešimt vienetų” reiškia būtent tai.
wavs/LT004-0152|Galvojate, kad išskirtinumo mygtukas taikomas tik prabangos prekių ar paslaugų srityje?
wavs/LT004-0153|Kečupo gamintojas HEINZ mano kitaip -
wavs/LT004-0154|pasižiūrėkite ir pagalvokite ką išskirtinio galėtumėte padaryti pas save..
wavs/LT004-0155|PENKIŲ POJŪČIŲ MYGTUKAS
wavs/LT004-0156|Marketingo srityje labai paplitęs patarimas: „Priverskite juos pamatyti, pajausti, patikėti ir jie tikrai pirks.“
wavs/LT004-0157|Jei Jūsų medžiaga potencialius klientus mintyse pavers siūlomo produkto ar paslaugos naudotojais,
wavs/LT004-0158|padės jiems save pamatyti po pardavimo, tai greitai šie potencialūs pirkėjai taps tikraisiais Jūsų klientais.
wavs/LT004-0159|Nieko nėra geriau už tikrąjį patyrimą.
wavs/LT004-0160|Kai kuriais atvejais savo potencialiam klientui galite leisti pajausti, išnagrinėti ar net kuo nors manipuliuoti.
wavs/LT004-0161|Tai padarę beveik iš karto galėsite pastebėti, kaip būsimas klientas mintyse įsivaizduoja jau turįs Jūsų produktą.
wavs/LT004-0162|Kitas potencialaus kliento vaizduotės skatinimo būdas – vaizdingas pasakojimas.
wavs/LT004-0163|Jei suteiksite pakankamai detalios informacijos, potencialus klientas įsivaizduos save kaip patenkintą Jūsų produkto savininką.
wavs/LT004-0164|Apeliuodamas į pojūčius, pateikite vartotojui savo parduodamo produkto trimatį vaizdą.
wavs/LT004-0165|Penkiais pojūčiais paremta reklaminė medžiaga Jums padės parduoti produktą.
wavs/LT004-0166|Dėl efektyvaus apibūdinimo potencialus klientas gebės matyti, užuosti, išgirsti, paragauti ar net pasijusti taip,
wavs/LT004-0167|lyg Jūsų siūlomas produktas būtų padėtas tiesai prieš jų akis.
wavs/LT004-0168|Efektyvus apibūdinimas turėtų įtraukti klientus ir sukurti tikrą įvykį, lyg jie būtų kartu su Jumis.
wavs/LT004-0169|Papasakok ką nors apie mane
wavs/LT004-0170|Visiems mums patinka girdėti apie save ir įsivaizduoti save laimingesnius, sveikesnius ir turtingesnius.
wavs/LT004-0171|Štai kodėl frazės, kuriose egzistuoja žodelis „Jūs“, jiems atrodo tokios patrauklios.
wavs/LT005-0001|Visi ieško stebuklingos piliulės: vieni nori ilgiau gyventi, kiti trokšta jaunatviškai atrodančios odos, dar kiti – daug pinigų banko sąskaitoje.
wavs/LT005-0002|(Po šimts, aš pats pirkčiau stebuklingą piliulę, jei tik ji išspręstų visas mano problemas. O Jūs?)
wavs/LT005-0003|Bet kaip jau žinote, tokia piliulė neegzistuoja. Be abejo, tai nereiškia, kad negalite pasinaudoti kliento noru ir poreikiu.
wavs/LT005-0004|Jūs galite sukurti pranešimą apie vienu mostu išsprendžiamas visas klientams kylančias problemas:
wavs/LT005-0005|Pasamdę auklę iš įdarbinimo agentūros „A B C D“, už nedidelį įkainį įsigysite auklę, namų tvarkytoją ir patyrusią virėją viename.
wavs/LT005-0006|Nusipirkę septynių dienų kelionę į Egiptą, mūsų partnerių “E F G H” parduotuvėje nemokamai gausite kelioninį lagaminėlį ir odinį paso dėklą.
wavs/LT005-0007|Jums tereikia atsinešti ir parodyti bilietus.
wavs/LT005-0008|Magiška akimirka
wavs/LT005-0009|Kartais žmonės ieško stebuklingos piliulės, kuri išpildytų absoliučiai visus jų norus. Kitais atvejais ieško tokios, kuri iš karto duotų rezultatą.
wavs/LT005-0010|„Alka-Seltzer“ reklamoje žadama staigi pagalba nuo rėmens.
wavs/LT005-0011|Turėdami skaitmeninę televiziją, iš karto galite žiūrėti norimą filmą, Jums nebereikia lėkti į parduotuvę, kad nusipirktumėte DVD.
wavs/LT005-0012|Jei savo produktu negalite pasiūlyti staigaus rezultato, siūlykite greitą, pavyzdžiui:
wavs/LT005-0013|„Užsisakius internetu, „X prekės ženklo“ žolelių rinkinį išsiųsime skubiuoju paštu
wavs/LT005-0014|ir jau rytoj galėsite savo patiekalą pagardinti rozmarinu, baziliku bei raudonėliais.“
wavs/LT005-0015|Atvirkštinės psichologijos taktika
wavs/LT005-0016|Klientui paprasčiausiai praneškite, kad stebuklingos piliulės nėra:
wavs/LT005-0017|“Brangus pone ....,
wavs/LT005-0018|man labai gaila, tačiau stebuklingos piliulės, padėsiančios keisti blogą kredito istoriją, paprasčiausiai nėra.
wavs/LT005-0019|Neužtenka perskaityti mano knygą ir tikėtis, kad bankai vėl lauks Jūsų išskėstomis rankomis.
wavs/LT005-0020|Tačiau Jūs GALITE sužinoti priemones, kurios padės žengti BŪTINUS žingsnius ir ...”
wavs/LT005-0021|PATOGUMO MYGTUKAS
wavs/LT005-0022|Turėtų būti aišku, jog visi vartotojai nori, kad jų apsipirkimas būtų itin paprastas, kad jie galėtų pirkti kada tik nori ir ką tik nori,
wavs/LT005-0023|ir kad nereikėtų labai stengtis ar toli keliauti.
wavs/LT005-0024|Dėl šios priežasties parduotuvės, kurios dirba visą parą, yra patogios.
wavs/LT005-0025|Atsiradus prekybos centrams, vartotojai pagaliau galėjo mėgautis platesne įvairove, mažesnėmis kainomis bei tuo pat metu galėjo laiką leisti užkandinėse ir laisvalaikio zonose.
wavs/LT005-0026|Visa tai – tame pačiame pastate.
wavs/LT005-0027|Buvo spėjama, kad dėl prekybos centrų bankrutuos daugelis mažesnių vietinių parduotuvėlių, žlugs nemažai smulkaus verslo įmonių.
wavs/LT005-0028|Bet tai nutiko nevisoms smulkaus verslo įmonėms.
wavs/LT005-0029|Kai kurie vietiniai verslai ir toliau gyvavo, nes vartotojams buvo patogūs. Patogumas yra geriausias vartotojo draugas, todėl ir Jūs turėtumėte į tai atsižvelgti.
wavs/LT005-0030|Dėl atsiradusio interneto stipriai padidėjo patogumo poreikis. Vartotojai visko, ko jiems reikia, tikisi iš karto:
wavs/LT005-0031|neatidėliotinos prašymo gauti paskolą analizės, skubaus paskolos patvirtinimo,
wavs/LT005-0032|greito elektroninių knygų pristatymo ir akimirksniu įsiliepsnojusios meilės pažinčių puslapiuose.
wavs/LT005-0033|Patogumo apibrėžtis
wavs/LT005-0034|Patogumas žmonėms suprantamas skirtingai.
wavs/LT005-0035|Vienišam tėvui ar motinai patogumas – tai žaidimų kambarys parduotuvėje, kol tėvai tvarko reikalus, vaikai gali pažaisti ir jiems netrukdyti.
wavs/LT005-0036|Be abejo, daug keliaujančiam verslininkui svarbu, kad pasitikrinti elektroninio pašto dėžutę jis galėtų tiesiog mobiliajame telefone.
wavs/LT005-0037|Paklauskite savo klientų, kokios paslaugos labiausiai atitiktų jų poreikius, ir pamąstykite apie idėjų bei paslaugų įgyvendinimą.
wavs/LT005-0038|Nauda bus abipusė.
wavs/LT005-0039|Visų pirma, turimų klientų rinkos tyrimas Jums padės įžvelgti tai, ko pageidaus Jūsų nauji klientai.
wavs/LT006-0001|Ar tai skamba beprotiškai? Tikrai taip! Jei potencialus klientas prieštarauja, vadinasi, jis ar ji yra nors kiek susidomėjęs (susidomėjusi).
wavs/LT006-0002|Kitaip nebūtų priežasties prieštarauti.
wavs/LT006-0003|Kartais net garsiausias prieštaravimas visai nėra prieštaravimas. Tai tik prašymas spręsti problemą.
wavs/LT006-0004|Kadangi esate marketingo meistras, turite begalę sprendimų!
wavs/LT006-0005|Keturi „nereikia nerimauti“ mygtukai:
wavs/LT006-0006|Tryliktas. BAIMĖS SUKLYSTI MYGTUKAS
wavs/LT006-0007|Keturioliktas. PATIKIMUMO MYGTUKAS
wavs/LT006-0008|Penkioliktas. NUOSEKLUMO MYGTUKAS
wavs/LT006-0009|Šešioliktas. TIESOS MYGTUKAS
wavs/LT006-0010|Tryliktas. BAIMĖS SUKLYSTI MYGTUKAS
wavs/LT006-0011|Jau anksčiau kalbėjome, kaip, pasinaudoję baime, galite motyvuoti vartotojus pirkti:
wavs/LT006-0012|prarastos progos baimė, baimė susirgti ir panašiai.
wavs/LT006-0013|Tačiau baimė turi ir kitą pusę. Daugeliui žmonių būtent baimės kliudys priimti su pirkimu susijusius sprendimus.
wavs/LT006-0014|Baimės yra prieštaravimai, į kuriuos būtinai reikia atsižvelgti!
wavs/LT006-0015|Dėl vartotojams kilusių baimių gali sužlugti pardavimas, todėl kaip pardavėjas privalote kovoti su jomis.
wavs/LT006-0016|Susikoncentruokite į baimes ir būtinai pateikite pakankamai informacijos apie produkto naudą ir teikiamas garantijas.
wavs/LT006-0017|Taip užkirsite kelią ir baimės negalės sujaukti Jūsų potencialaus kliento minčių.
wavs/LT006-0018|Ko bijo vartotojai?
wavs/LT006-0019|Ar įsigijau geriausią produktą?
wavs/LT006-0020|Ar įsigijau netikusį daiktą?
wavs/LT006-0021|Ar sumokėjau per didelę kainą?
wavs/LT006-0022|Ar tikrai pirkau tai, ko man reikia?
wavs/LT006-0023|Ar gausiu tai, kas buvo pažadėta?
wavs/LT006-0024|Jei suklydau, ar galėsiu susigrąžinti pinigus?
wavs/LT006-0025|Ar man tikrai to reikia?
wavs/LT006-0026|Ką daryti ir ko nedaryti?
wavs/LT006-0027|Jei Jūsų marketingo pranešimas iš anksto gali išsklaidyti prieštaravimus į juos atsakydamas – puiku. Nepanikuokite, jei vartotojas ims ir paprieštaraus.
wavs/LT006-0028|Galbūt tai visiškai nereiškia to, apie ką pagalvojote.
wavs/LT006-0029|Jei tik įmanoma, užbaikite savo pranešimą ir tik tada atsižvelkite į prieštaravimus.
wavs/LT006-0030|Juk svarbiausia aiškiai parodyti, kad nebandote išsisukti nuo vartotojui kilusių klausimų ar prieštaravimų.
wavs/LT006-0031|Gali būti, kad savo prezentacija atsakysite į visus kilusius klausimus, todėl prieštaraujančiam klausytojui sakykite:
wavs/LT006-0032|„Tuojau pat aptarsime šią temą, o pokalbio pabaigoje mielai atsakysiu į visus Jums kilusius klausimus.“
wavs/LT006-0033|Prieš atsakydami į klausimą, įdėmiai jį išklausykite.
wavs/LT006-0034|Parodykite susidomėjimą kilusiais prieštaravimais.
wavs/LT006-0035|Prieš atsakydamas į klausimą, jį pakartokite (įsitikinkite, kad tikrai suprantate, ko klausiama, kitu atveju paprašykite paaiškinimo).
wavs/LT006-0036|Išskirkite prieštaravimą ir bandykite nustatyti tikrąją ar užslėptą nepritarimo priežastį.
wavs/LT006-0037|Prieštaravimą pakeiskite klausimu.
wavs/LT006-0038|Pateikite atsakymą į prieštaravimą.
wavs/LT006-0039|Prieštaravimų nereikia pernelyg sureikšminti (tai gali būti paprasčiausias klausimas).
wavs/LT006-0040|Savo veido, balso ar kūno išraiška nedemonstruokite, kad prieštaravimą laikote kvailu.
wavs/LT006-0041|Nebandykite nuspėti, ką žmogus nori pasakyti (greičiausiai ne taip jį suprasite ir įžeisite).
wavs/LT006-0042|Nepertraukite prieštaraujančiojo (Jūsų potencialus klientas jausis laisviau, jei leisite jam užbaigti pradėtą klausimą.
wavs/LT006-0043|Be to, jei jis manys, kad Jūsų atsakymas į jam kilusį klausimą nuoširdus, o ne išprovokuotas, Jūsų atsakymas jam bus priimtinesnis.
wavs/LT006-0044|Perėję visus šiuos žingsnius, paklauskite: „Ar atsakiau į Jūsų klausimą“ arba „Ar dabar Jums viskas tapo aiškiau?“
wavs/LT006-0045|Jūsų darbas – atpažinti potencialaus vartotojo klausimo ar prieštaravimo potekstę.
wavs/LT006-0046|Atsiradus prieštaravimui, turite ne ginčytis, o atsakyti į potencialaus kliento klausimus.
wavs/LT006-0047|Savo atsakymą sušvelninkite tokiomis frazėmis: „Aš siūlau...“,
wavs/LT006-0048|„Kaip Jums jau žinoma“.
wavs/LT006-0049|Galite sakyti, kad šį klausimą tikrai verta apsvarstyti; juk norite žinoti, ar šis žingsnis protingas.
wavs/LT006-0050|Šio klausimo esmė tokia:
wavs/LT006-0051|„Jei atsakysiu Jums į šį klausimą, tikriausiai daugiau nebeliks kliūčių ir galėsite pirkti tuojau pat?“
wavs/LT006-0052|Keturioliktas. PATIKIMUMO MYGTUKAS
wavs/LT006-0053|Dėl dešimtmečius trukusių perdėtų pažadų ir absoliutaus melo prekybininkai savo produktus parduoda „skepticizmo amžiuje“.
wavs/LT006-0054|Šiandienos vartotojas jau nebe toks skeptiškas.
wavs/LT006-0055|Jis įtarus ir norintis žinoti visą už reklamos slypinčią tiesą, nesvarbu, ar jis perka prabangų sportinį automobilį, ar skardinę paprasto limonado.
